amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,91.4262335000094,844.6894600000232,None,,,,,,,,,,,,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,num_2,5.754967399989255,num_2,0.25,1.6,0.25,1.6,9.01073,57.66869,return,6.337040999962483,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,num_4,4.700411500001792,num_4,0.15,1.1,0.15,1.1,5.40644,39.64722,return,0.4296807000064291,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,num_3,1.9272487999987788,num_3,0.2,0.3,0.2,0.7,7.20859,25.23005,return,12.968571799981873,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,num_4,3.1190655000391416,num_4,0.4,1.2,0.15000000000000008,0.6,5.40644,21.62576,return,14.335106800019275,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,num_5,4.188427200017031,num_5,0.3,1.2,0.35,0.75,12.61502,27.0322,return,6.786220899957698,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,num_5,3.275238400034141,num_5,0.1,0.9,0.35,0.6,12.61502,21.62576,return,5.877796099986881,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,num_6,2.916244000021834,num_6,0.45,1.2,0.35000000000000003,0.6,12.61502,21.62576,return,7.167551100021228,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,num_3,2.649143299960997,num_3,0.25,1.2,0.25,0.8,9.01073,28.83434,return,5.02177519997349,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,num_4,1.9418174999882467,num_4,0.4,1.1,0.25000000000000006,0.6,9.01073,21.62576,return,5.41376520000631,,,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,35.88426329998765,,,,,19,24,female,up_down_width,2023_Oct_18_1454,exp1,2021.2.3,59.98703079597238,
