amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,103.57372370001394,70.58527790004155,None,,,,,,,,,,,,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,num_4,4.221554499992635,num_4,0.2,1.0,0.15000000000000002,0.7,5.40644,25.23005,return,14.274112900020555,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,num_4,2.665414299990516,num_4,0.2,1.0,0.10000000000000002,0.7,3.60429,25.23005,return,4.892362900020089,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,num_5,3.6006145999999717,num_5,0.2,0.5,0.2,0.5,7.20859,18.02146,return,2.041773499979172,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,num_3,2.127033600001596,num_3,0.15,0.7,0.04999999999999999,0.7,1.80215,25.23005,return,4.9685227000154555,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,num_4,2.2937441999674775,num_4,0.2,0.9,0.10000000000000002,0.9,3.60429,32.43864,return,14.309732599998824,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,num_3,3.253647200006526,num_3,0.15,0.8,0.2,0.8,7.20859,28.83434,return,1.5919361999840476,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,num_3,1.871223900001496,num_3,0.45,0.8,0.10000000000000007,0.8,3.60429,28.83434,return,3.579320800025016,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,num_3,2.6533930000150576,num_3,0.4,1,0.35000000000000003,1.1,12.61502,39.64722,return,8.036522299982607,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,num_3,2.759433800005354,num_3,0.15,0.7,0.09999999999999999,0.7,3.60429,25.23005,return,1.735919999948237,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,114.91397410002537,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.6,0.1,2.1999999999999997,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,0,0,0,0,0,0,0,24,,,,,num_3,2.9228898999863304,num_3,0.15,0.7,0.04999999999999999,0.7,1.80215,25.23005,return,2.18108949996531,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,1,1,46,,,,,num_4,3.054194499971345,num_4,0.2,1.3,0.25,1.0,9.01073,36.04293,return,5.15524789999472,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.42500000000000004,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,0,0,0,0,0,2,2,33,,,,,num_5,2.7754640000057407,num_5,0.3,1.2,0.15000000000000002,1.0,5.40644,36.04293,return,4.306451399985235,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,3,3,32,,,,,num_4,2.7183826999971643,num_4,0.3,0.9,0.15000000000000002,0.8,5.40644,28.83434,return,3.494914900045842,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,initial,36.05,324,342,361,379,397,9,9,9,9,9,,,,,0,0,0,0,0,4,4,40,,,,,num_4,2.0692022000439465,num_4,0.4,1.2,0.55,0.9,19.82361,32.43864,return,6.574882599990815,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,4,9.3,9.766666666666667,10.233333333333333,10.7,0,0.4666666666666667,0.06666666666666665,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,0,0,0,0,0,5,5,11,,,,,num_4,2.39454680000199,num_4,0.3,0.6,0.49999999999999994,0.6,18.02146,21.62576,return,9.625322400010191,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,3,9.5,10,10.5,0,0,0.5,0.09999999999999998,0.4,1.4000000000000001,10,initial,36.05,342,361,379,0,0,9,9,9,0,0,,,,,0,0,0,0,0,6,6,4,,,,,num_3,4.048857300018426,num_3,0.2,0.5,0.35,0.5,12.61502,18.02146,return,2.4449506999808364,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,match,36.05,333,347,361,374,388,9,9,9,9,9,,,,,0,0,0,0,0,7,7,21,,,,,num_4,2.431204400025308,num_4,0.15,0.6,0.39999999999999997,0.6,14.41717,21.62576,return,3.0373863999848254,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8000000000000003,1.7000000000000002,0.1,3.7,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,8,8,49,,,,,num_3,2.1645716999773867,num_3,0.25,0.5,0.05000000000000002,0.5,1.80215,18.02146,return,3.008389000024181,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.5,0.4,4,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,9,9,52,,,,,num_6,2.661405900027603,num_6,0.3,0.8,0.2,0.7,7.20859,25.23005,return,5.172022100014146,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,4,9.25,9.75,10.25,10.75,0,0.5,0.4,0.1,1.6,10,initial,36.05,333,351,370,388,0,9,9,9,9,0,,,,,0,0,0,0,0,10,10,18,,,,,num_3,1.9598093999666162,num_3,0.25,1.1,0.15000000000000002,1.1,5.40644,39.64722,return,1.3523593000136316,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,0,0,0,0,0,11,11,14,,,,,num_3,2.377216099994257,num_3,0.15,1.1,0.2,1.05,7.20859,37.84507,return,2.7769802999682724,,,,,,,17,23,male,left_right_width,2023_Oct_17_1712,exp1,2021.2.3,59.89282775977537,
