amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,58.422121699899435,51.830019699875265,None,,,,,,,,,,,,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,num_4,1.927945600124076,num_4,0.1,1.1,0.15000000000000002,0.4,5.52974,14.74598,return,19.673099600011483,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,num_3,1.487347099930048,num_3,0.3,0.9,0.3,0.9,11.05949,33.17846,return,2.5599164001177996,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,num_5,1.8289024999830872,num_5,0.2,0.7,0.2,0.5,7.37299,18.43248,return,5.465014499844983,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,num_4,2.279064000118524,num_4,0.4,0.7,0.45,0.6,16.58923,22.11898,return,7.465855000074953,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,num_4,2.5827480000443757,num_4,0.35,0.7,0.25,0.5,9.21624,18.43248,return,6.206185900140554,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,num_3,4.156809499952942,num_3,0.4,0.8,0.15000000000000008,0.45,5.52974,16.58923,return,6.373586399946362,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,num_3,1.6247147000394762,num_3,0.25,0.4,0.05000000000000002,0.65,1.84325,23.96222,return,7.540586699964479,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,num_3,1.4713067999109626,num_3,0.35,1.3,0.10000000000000002,1.1,3.6865,40.55146,return,6.402287199860439,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,num_4,1.884214699966833,num_4,0.15,0.9,0.25,0.6,9.21624,22.11898,return,6.141920000081882,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,21.399920499883592,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.5999999999999999,0.3499999999999999,0.25,2.05,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,0,0,15,,,,,num_4,1.3482178000267595,num_4,0.15,0.8,0.2,0.7,7.37299,25.80547,return,5.100756400031969,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
,,,,,,,,,,,,,,,,4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.3333333333333333,0.08333333333333333,0.25,1.25,10,match,36.05,342,354,367,379,0,9,9,9,9,0,,,,,0,0,0,0,0,1,1,3,,,,,num_4,1.5223251001443714,num_4,0.35,0.5,0.25,0.4,9.21624,14.74598,return,3.9547790999058634,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.55,0.25,3.85,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,2,2,51,,,,,num_3,1.3012294999789447,num_3,0.15,1.1,0.15000000000000002,1.15,5.52974,42.3947,return,4.689007400069386,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,3,3,32,,,,,num_4,1.2608409998938441,num_4,0.15,0.8,0.15,0.8,5.52974,29.49197,return,2.6015355999115855,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
,,,,,,,,,,,,,,,,4,9.425,9.808333333333334,10.191666666666666,10.575,0,0.3833333333333333,0.1333333333333333,0.25,1.4,10,match,36.05,340,354,367,381,0,9,9,9,9,0,,,,,0,0,0,0,0,4,4,5,,,,,num_3,1.8700093000661582,num_3,0.25,1.1,0.25,0.55,9.21624,20.27573,return,4.753189699957147,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
,,,,,,,,,,,,,,,,5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,initial,36.05,324,342,361,379,397,9,9,9,9,9,,,,,0,0,0,0,0,5,5,40,,,,,num_5,1.9887417000718415,num_5,0.25,1.3,0.25,0.65,9.21624,23.96222,return,9.890672100009397,,,,,,,2,23,female,left_right_width,2023_Aug_14_1018,exp1,2021.2.3,60.097056716050375,
