"participant","stim_length","amount","center_to_center","w","trial_type","loop.thisN","response","key_resp.rt","starting_width_deg","starting_space_deg","response_width_degree","response_spacing_degree","next_5.rt","resp_group"
1,1.65,4,0.466666666666667,0.25,"match",0,3,2.92675460013561,0.1,1.3,0.25,0.75,7.27211120002903,"left_right_width"
1,2.1,3,1,0.1,"match",1,3,2.49829599983059,0.15,0.5,0.1,1,9.11644969996996,"left_right_width"
1,2.2,4,0.6,0.4,"match",2,3,4.42918620002456,0.15,1.3,0.35,0.65,6.93804990011267,"left_right_width"
1,2.25,5,0.5,0.25,"initial",3,4,1.30401759990491,0.3,0.3,0.4,0.6,23.475285399938,"left_right_width"
1,3.1,5,0.675,0.4,"match",4,4,1.58405849989504,0.4,1.2,0.4,0.6,3.98432980012149,"left_right_width"
1,1.4,3,0.5,0.4,"initial",5,3,1.13310929993168,0.15,1.2,0.4,0.65,6.59089780016802,"left_right_width"
1,2.95,5,0.675,0.25,"match",6,4,1.08213890017942,0.25,1.3,0.25,0.9,4.45910259988159,"left_right_width"
1,2.2,4,0.7,0.1,"initial",7,4,1.16977070015855,0.45,1.2,0.1,0.7,12.2902154000476,"left_right_width"
1,2.9,3,1.4,0.1,"match",8,2,1.06274560000747,0.45,1.6,0.1,1.4,5.84709669998847,"left_right_width"
1,1.25,3,0.5,0.25,"initial",9,3,1.09673670004122,0.4,0.8,0.25,0.7,5.81985140009783,"left_right_width"
1,2.5,5,0.525,0.4,"match",10,5,1.59398759994656,0.1,0.5,0.35,0.5,5.48144650016911,"left_right_width"
1,2.25,3,1,0.25,"match",11,2,1.1902366001159,0.1,1.6,0.4,1.3,7.21995349996723,"left_right_width"
1,1.1,3,0.5,0.1,"initial",12,2,1.91726119979285,0.4,1.6,0.1,1.1,4.9766136999242,"left_right_width"
1,1.65,3,0.7,0.25,"initial",13,3,1.12536599999294,0.2,1,0.25,0.8,4.326524999924,"left_right_width"
1,2.5,4,0.7,0.4,"initial",14,3,1.50443420000374,0.1,0.8,0.4,0.8,2.62465899996459,"left_right_width"
1,3.7,5,0.9,0.1,"initial",15,4,0.946618600049987,0.35,1,0.1,1,5.32355220010504,"left_right_width"
1,2.8,5,0.675,0.1,"match",16,5,1.12747790012509,0.15,1.3,0.1,0.85,6.36113320011646,"left_right_width"
1,2.9,5,0.7,0.1,"initial",17,5,1.16934060002677,0.4,0.9,0.0500000000000001,0.9,4.68828419991769,"left_right_width"
1,1.6,5,0.375,0.1,"match",18,4,1.58190759993158,0.35,1.3,0.1,0.7,9.01927680009976,"left_right_width"
1,1.6,4,0.5,0.1,"initial",19,3,1.75716729997657,0.1,0.7,0.1,0.8,2.45334429992363,"left_right_width"
1,1.5,3,0.7,0.1,"initial",20,2,2.30452980007976,0.3,1.6,0.2,1.1,6.49605270009488,"left_right_width"
1,3.7,3,1.8,0.1,"match",21,3,1.95809129998088,0.35,0.5,0.1,1.6,12.1180954000447,"left_right_width"
1,2.4,5,0.5,0.4,"initial",22,4,1.87627330003306,0.15,0.8,0.35,0.5,4.56711399997585,"left_right_width"
1,2.1,5,0.5,0.1,"initial",23,4,0.947251399978995,0.3,1,0.1,0.5,4.46165139996447,"left_right_width"
1,1.9,5,0.4125,0.25,"match",24,4,0.992679900024086,0.35,1.1,0.25,0.5,3.82956839981489,"left_right_width"
1,2.35,5,0.525,0.25,"match",25,4,0.999083600006998,0.2,0.4,0.35,0.8,5.16706739994697,"left_right_width"
1,1.25,4,0.333333333333333,0.25,"match",26,3,1.14286290016025,0.3,0.6,0.3,0.5,7.01656769984402,"left_right_width"
1,1.9,4,0.5,0.4,"initial",27,3,1.52226769994013,0.3,0.6,0.4,0.65,4.33920829999261,"left_right_width"
1,3.05,3,1.4,0.25,"match",28,2,0.716631199931726,0.35,1.6,0.25,2.2,3.53333649993874,"left_right_width"
1,3.2,3,1.475,0.25,"match",29,2,1.07678120001219,0.15,1.6,0.1,3.3,5.04944289987907,"left_right_width"
1,2.2,3,0.9,0.4,"initial",30,2,3.02513940003701,0.45,1.6,0.45,1.6,1.33583780005574,"left_right_width"
1,1.8,4,0.466666666666667,0.4,"match",31,3,1.04848320013843,0.45,0.5,0.45,0.65,2.68573069991544,"left_right_width"
1,1.75,4,0.5,0.25,"initial",32,4,1.38703270000406,0.15,0.7,0.3,0.5,3.69610309996642,"left_right_width"
