"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","response_space","probe_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","spacing_deviation","response_stim_length","compression_rate","actual_pooled_width","response_pooled_width","pooled_width_deviation","actual_width_density","response_width_density","width_density_deviation"
"1","left_right_width","match",1,4,3,2.92675460013561,0.466666666666667,0.75,1.3,0.25,0.25,0.1,7.27211120002903,1.65,"Exp1A",-1,0,0.283333333333333,1.75,1.06060606060606,1,0.75,-0.25,0.606060606060606,0.428571428571429,-0.177489177489178
"1","left_right_width","match",2,3,3,2.49829599983059,1,1,0.5,0.1,0.1,0.15,9.11644969996996,2.1,"Exp1A",0,1.38777878078145e-17,0,2.1,1,0.3,0.3,0,0.142857142857143,0.142857142857143,0
"1","left_right_width","match",3,4,3,4.42918620002456,0.6,0.65,1.3,0.4,0.35,0.15,6.93804990011267,2.2,"Exp1A",-1,-0.05,0.0499999999999999,1.65,0.75,1.6,1.05,-0.55,0.727272727272727,0.636363636363636,-0.0909090909090911
"1","left_right_width","match",5,5,4,1.58405849989504,0.675,0.6,1.2,0.4,0.4,0.4,3.98432980012149,3.1,"Exp1A",-1,0,-0.0750000000000001,2.2,0.709677419354839,2,1.6,-0.4,0.645161290322581,0.727272727272727,0.0821114369501468
"1","left_right_width","initial",6,3,3,1.13310929993168,0.5,0.65,1.2,0.4,0.4,0.15,6.59089780016802,1.4,"Exp1A",0,-5.55111512312578e-17,0.15,1.7,1.21428571428571,1.2,1.2,-2.22044604925031e-16,0.857142857142857,0.705882352941177,-0.151260504201681
"1","left_right_width","match",7,5,4,1.08213890017942,0.675,0.9,1.3,0.25,0.25,0.25,4.45910259988159,2.95,"Exp1A",-1,0,0.225,2.95,1,1.25,1,-0.25,0.423728813559322,0.338983050847458,-0.0847457627118644
"1","left_right_width","initial",8,4,4,1.16977070015855,0.7,0.7,1.2,0.1,0.1,0.45,12.2902154000476,2.2,"Exp1A",0,6.93889390390723e-17,0,2.2,1,0.4,0.4,2.77555756156289e-16,0.181818181818182,0.181818181818182,1.38777878078145e-16
"1","left_right_width","match",9,3,2,1.06274560000747,1.4,1.4,1.6,0.1,0.1,0.45,5.84709669998847,2.9,"Exp1A",-1,6.93889390390723e-17,0,1.5,0.517241379310345,0.3,0.2,-0.0999999999999999,0.103448275862069,0.133333333333333,0.0298850574712645
"1","left_right_width","initial",10,3,3,1.09673670004122,0.5,0.7,0.8,0.25,0.25,0.4,5.81985140009783,1.25,"Exp1A",0,5.55111512312578e-17,0.2,1.65,1.32,0.75,0.75,2.22044604925031e-16,0.6,0.454545454545455,-0.145454545454545
"1","left_right_width","match",11,5,5,1.59398759994656,0.525,0.5,0.5,0.4,0.35,0.1,5.48144650016911,2.5,"Exp1A",0,-0.05,-0.025,2.35,0.94,2,1.75,-0.25,0.8,0.74468085106383,-0.0553191489361703
"1","left_right_width","match",12,3,2,1.1902366001159,1,1.3,1.6,0.25,0.4,0.1,7.21995349996723,2.25,"Exp1A",-1,0.15,0.3,1.7,0.755555555555556,0.75,0.8,0.0499999999999999,0.333333333333333,0.470588235294118,0.137254901960784
"1","left_right_width","initial",13,3,2,1.91726119979285,0.5,1.1,1.6,0.1,0.1,0.4,4.9766136999242,1.1,"Exp1A",-1,6.93889390390723e-17,0.6,1.2,1.09090909090909,0.3,0.2,-0.0999999999999999,0.272727272727273,0.166666666666667,-0.106060606060606
"1","left_right_width","initial",14,3,3,1.12536599999294,0.7,0.8,1,0.25,0.25,0.2,4.326524999924,1.65,"Exp1A",0,0,0.1,1.85,1.12121212121212,0.75,0.75,0,0.454545454545455,0.405405405405405,-0.0491400491400492
"1","left_right_width","initial",15,4,3,1.50443420000374,0.7,0.8,0.8,0.4,0.4,0.1,2.62465899996459,2.5,"Exp1A",-1,-5.55111512312578e-17,0.1,2,0.8,1.6,1.2,-0.4,0.64,0.6,-0.04
"1","left_right_width","initial",16,5,4,0.946618600049987,0.9,1,1,0.1,0.1,0.35,5.32355220010504,3.7,"Exp1A",-1,1.38777878078145e-17,0.1,3.1,0.837837837837838,0.5,0.4,-0.0999999999999999,0.135135135135135,0.129032258064516,-0.00610287707061896
"1","left_right_width","match",17,5,5,1.12747790012509,0.675,0.85,1.3,0.1,0.1,0.15,6.36113320011646,2.8,"Exp1A",0,-1.38777878078145e-17,0.175,3.5,1.25,0.5,0.5,-5.55111512312578e-17,0.178571428571429,0.142857142857143,-0.0357142857142857
"1","left_right_width","initial",18,5,5,1.16934060002677,0.7,0.9,0.9,0.1,0.0500000000000001,0.4,4.68828419991769,2.9,"Exp1A",0,-0.0499999999999999,0.2,3.65,1.25862068965517,0.5,0.25,-0.25,0.172413793103448,0.0684931506849316,-0.103920642418517
"1","left_right_width","match",19,5,4,1.58190759993158,0.375,0.7,1.3,0.1,0.1,0.35,9.01927680009976,1.6,"Exp1A",-1,1.38777878078145e-17,0.325,2.2,1.375,0.5,0.4,-0.0999999999999999,0.3125,0.181818181818182,-0.130681818181818
"1","left_right_width","initial",20,4,3,1.75716729997657,0.5,0.8,0.7,0.1,0.1,0.1,2.45334429992363,1.6,"Exp1A",-1,0,0.3,1.7,1.0625,0.4,0.3,-0.1,0.25,0.176470588235294,-0.0735294117647059
"1","left_right_width","initial",21,3,2,2.30452980007976,0.7,1.1,1.6,0.1,0.2,0.3,6.49605270009488,1.5,"Exp1A",-1,0.1,0.4,1.3,0.866666666666667,0.3,0.4,0.1,0.2,0.307692307692308,0.107692307692308
"1","left_right_width","match",22,3,3,1.95809129998088,1.8,1.6,0.5,0.1,0.1,0.35,12.1180954000447,3.7,"Exp1A",0,1.38777878078145e-17,-0.2,3.3,0.891891891891892,0.3,0.3,0,0.0810810810810811,0.0909090909090909,0.00982800982800983
"1","left_right_width","initial",23,5,4,1.87627330003306,0.5,0.5,0.8,0.4,0.35,0.15,4.56711399997585,2.4,"Exp1A",-1,-0.05,0,1.85,0.770833333333333,2,1.4,-0.6,0.833333333333333,0.756756756756757,-0.0765765765765767
"1","left_right_width","initial",24,5,4,0.947251399978995,0.5,0.5,1,0.1,0.1,0.3,4.46165139996447,2.1,"Exp1A",-1,1.38777878078145e-17,0,1.6,0.761904761904762,0.5,0.4,-0.0999999999999999,0.238095238095238,0.25,0.011904761904762
"1","left_right_width","match",25,5,4,0.992679900024086,0.4125,0.5,1.1,0.25,0.25,0.35,3.82956839981489,1.9,"Exp1A",-1,0,0.0875,1.75,0.921052631578947,1.25,1,-0.25,0.657894736842105,0.571428571428571,-0.0864661654135339
"1","left_right_width","match",26,5,4,0.999083600006998,0.525,0.8,0.4,0.25,0.35,0.2,5.16706739994697,2.35,"Exp1A",-1,0.1,0.275,2.75,1.17021276595745,1.25,1.4,0.15,0.531914893617021,0.509090909090909,-0.0228239845261123
"1","left_right_width","match",27,4,3,1.14286290016025,0.333333333333333,0.5,0.6,0.25,0.3,0.3,7.01656769984402,1.25,"Exp1A",-1,0.05,0.166666666666667,1.3,1.04,1,0.9,-0.1,0.8,0.692307692307692,-0.107692307692308
